ENERDATA,SBS,EF,IEA,flow,Navigate
NA,TX,PHEVGSL,NA,,
NA,TX,PHEVGDO,NA,,
NA,TX,CHEVGSL,NA,,
NA,TX,CHEVGDO,NA,,
NA,TX,SLD,NA,,
NA,TX,GAS,NA,,
NA,TX,LQD,NA,,
NA,TX,OLQT,NA,,
NA,TX,NFF,NA,,
NA,TX,NEF,NA,,
NA,TX,HEATPUMP,NA,,
NA,OE,REN,NA,,
Coal and lignite final consumption of mining.Mtoe,OE,HCL,BITCOAL,MINING,
NA,OE,LGN,LIGNITE,MINING,
NA,OE,CRO,NA,,
NA,OE,LPG,LPG,MINING,
NA,OE,GSL,NONBIOGASO,MINING,
NA,OE,KRS,NA,,
"Diesel, heating oil final consumption of mining.Mtoe",OE,GDO,NONBIODIES,MINING,
NA,OE,RFO,NA,,
NA,OE,OLQ,NA,,
Natural gas final consumption of mining.Mtoe,OE,NGS,NATGAS,MINING,
NA,OE,OGS,NA,,
NA,OE,NUC,NA,,
NA,OE,STE,NA,,
NA,OE,HYD,NA,,
NA,OE,WND,NA,,
NA,OE,SOL,NA,,
Biomass final consumption of mining.Mtoe,OE,BMSWAS,NA,NA,
NA,OE,GEO,NA,,
NA,OE,MET,NA,,
NA,OE,ETH,NA,,
NA,OE,BGDO,BIODIESEL,MINING,
NA,OE,H2F,NA,,
Electricity final consumption of mining.Mtoe,OE,ELC,ELECTR,MINING,
NA,OE,PHEVGSL,NA,,
NA,OE,PHEVGDO,NA,,
NA,OE,CHEVGSL,NA,,
NA,OE,CHEVGDO,NA,,
NA,OE,SLD,NA,,
NA,OE,GAS,NA,,
NA,OE,LQD,NA,,
NA,OE,OLQT,NA,,
NA,OE,NFF,NA,,
NA,OE,NEF,NA,,
NA,OE,HEATPUMP,NA,,
NA,OI,REN,NA,,
Coal and lignite final consumption miscellaneous industry.Mtoe,OI,HCL,NA,,Final Energy|Industry|Solids|Fossil
NA,OI,LGN,NA,,
NA,OI,CRO,NA,,Final Energy|Industry|Liquids|Fossil
NA,OI,LPG,NA,,
NA,OI,GSL,NA,,Final Energy|Industry|Liquids
NA,OI,KRS,NA,,
"Diesel, heating oil final consumption miscellaneous industry.Mtoe",OI,GDO,NA,,
NA,OI,RFO,NA,,
NA,OI,OLQ,NA,,
Natural gas final consumption of miscellaneous industry.Mtoe,OI,NGS,NA,,Final Energy|Industry|Gases|Fossil
NA,OI,OGS,NA,,
NA,OI,NUC,NA,,
NA,OI,STE,NA,,Final Energy|Industry|Heat
NA,OI,HYD,NA,,Final Energy|Industry|Hydrogen
NA,OI,WND,NA,,
NA,OI,SOL,NA,,Final Energy|Industry|Solar
Biomass final consumption miscellaneous industry.Mtoe,OI,BMSWAS,NA,,Final Energy|Industry|Solids|Biomass
NA,OI,GEO,NA,,
NA,OI,MET,NA,,
NA,OI,ETH,NA,,
